Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Dune: Part Two,2024,166,PG-13,190000000,282144358,82505391,2024-03-03 00:00:00,711844358
Road House,2024,121,R,0,0,0,1900-01-01 00:00:00,0
The Beekeeper,2024,105,R,40000000,66220535,16576007,2024-01-14 00:00:00,152720535
Damsel,2024,110,PG-13,0,0,0,1900-01-01 00:00:00,0
Civil War,2024,109,R,50000000,68105320,25537368,2024-04-14 00:00:00,113212647
Argylle,2024,139,PG-13,200000000,45207275,17473540,2024-02-04 00:00:00,96175012
The Fall Guy,2024,126,PG-13,130000000,73891385,27747035,2024-05-05 00:00:00,145506385
Madame Web,2024,116,PG-13,80000000,43817106,15335860,2024-02-18 00:00:00,100298817
Godzilla x Kong: The New Empire,2024,115,PG-13,135000000,195501633,80006561,2024-03-31 00:00:00,564801633
Challengers,2024,131,R,55000000,46797000,15011061,2024-04-28 00:00:00,81897000
Murder Mubarak,2024,140,TV-MA,0,0,0,1900-01-01 00:00:00,0
Teri Baaton Mein Aisa Uljha Jiya,2024,141,Not Rated,0,0,0,1900-01-01 00:00:00,0
Monkey Man,2024,121,R,10000000,25116955,10119435,2024-04-07 00:00:00,34500465
Fighter,2024,166,Not Rated,250000000,1000000,1000000,2024-01-28 00:00:00,3800771
Ghostbusters: Frozen Empire,2024,115,PG-13,100000000,112740000,45004673,2024-03-24 00:00:00,200279314
Shaitaan,2024,132,Not Rated,0,0,0,1900-01-01 00:00:00,0
Rebel Moon - Part Two: The Scargiver,2024,122,PG-13,0,0,0,1900-01-01 00:00:00,0
Ricky Stanicky,2024,113,R,0,0,0,1900-01-01 00:00:00,0
Kung Fu Panda 4,2024,94,PG,85000000,193340365,57989905,2024-03-10 00:00:00,539305365
Lift,2024,107,PG-13,0,0,0,1900-01-01 00:00:00,0
Color of Victory,2024,157,Not Rated,0,0,0,1900-01-01 00:00:00,0
Kingdom of the Planet of the Apes,2024,145,PG-13,160000000,126549252,58400788,2024-05-12 00:00:00,298549252
The Idea of You,2024,115,R,0,0,0,1900-01-01 00:00:00,0
Abigail,2024,109,R,28000000,25851000,10297110,2024-04-21 00:00:00,40915000
Bade Miyan Chote Miyan,2024,163,Not Rated,350000000,689505,493782,2024-04-14 00:00:00,2634645
Spaceman,2024,107,R,0,0,0,1900-01-01 00:00:00,0
The Ministry of Ungentlemanly Warfare,2024,120,R,60000000,20504850,8913698,2024-04-21 00:00:00,24245355
Madgaon Express,2024,143,Not Rated,0,0,0,1900-01-01 00:00:00,0
Mean Girls,2024,112,PG-13,36000000,72404248,28635307,2024-01-14 00:00:00,104404248
Furiosa: A Mad Max Saga,2024,148,R,168000000,25500000,25500000,2024-05-26 00:00:00,58800000
Crew,2024,118,Not Rated,0,0,0,1900-01-01 00:00:00,0
Merry Christmas,2024,144,Not Rated,0,0,0,1900-01-01 00:00:00,0
Immaculate,2024,89,R,9000000,15671307,5338921,2024-03-24 00:00:00,23857069
Hanu Man,2024,158,Not Rated,0,0,0,1900-01-01 00:00:00,0
Bob Marley: One Love,2024,107,PG-13,0,0,0,1900-01-01 00:00:00,0
Love Lies Bleeding,2024,104,R,0,0,0,1900-01-01 00:00:00,0
Unfrosted,2024,97,PG-13,0,0,0,1900-01-01 00:00:00,0
Land of Bad,2024,113,R,25000000,4620045,1840510,2024-02-18 00:00:00,6921385
Upgraded,2024,104,R,0,0,0,1900-01-01 00:00:00,0
Guntur Kaaram,2024,159,Not Rated,0,0,0,1900-01-01 00:00:00,0
Article 370,2024,158,Not Rated,0,0,0,1900-01-01 00:00:00,0
Night Swim,2024,98,PG-13,22000000,32494740,11797155,2024-01-07 00:00:00,54075969
Lisa Frankenstein,2024,101,PG-13,13000000,9774285,3695785,2024-02-11 00:00:00,9927714
Now or Never!,2024,0,Not Rated,0,0,0,1900-01-01 00:00:00,0
Role Play,2024,100,R,0,0,0,1900-01-01 00:00:00,0
Irish Wish,2024,93,TV-PG,0,0,0,1900-01-01 00:00:00,0
Scoop,2024,102,TV-14,0,0,0,1900-01-01 00:00:00,0
Manjummel Boys,2024,135,Not Rated,0,0,0,1900-01-01 00:00:00,0
Maidaan,2024,181,Not Rated,0,0,0,1900-01-01 00:00:00,0
The First Omen,2024,119,R,30000000,20104637,8353710,2024-04-07 00:00:00,53630386
